gene,cluster
COL23A1,1
COL24A1,2
COL26A1,2
COL27A1,1
COL2A1,2
COL3A1,2
COL4A1,2
COL4A2,2
COL4A4,1
COL4A5,4
COL4A6,2
COL5A1,0
COL5A2,0
COL6A1,2
COL6A2,0
COL7A1,5
COL9A2,4
COL9A3,4
COLEC11,3
COLEC12,4
COLGALT1,2
COLQ,1
COMMD3,5
COMMD4,0
COMMD6,0
COMP,5
COMT,2
COMTD1,4
COPB1,0
COPB2,4
COPG1,0
COPG2,4
COPRS,4
COPS2,0
COPS7A,0
COPS9,4
COQ10A,5
COQ10B,5
COQ4,5
COQ5,5
CORO1A,0
CORO1B,4
CORO2A,0
CORO2B,1
CORO6,4
COTL1,0
COX10,4
COX10-DT,1
COX15,5
COX17,5
COX19,5
COX5A,2
COX5B,4
COX6A1,5
COX6C,5
COX7A2,5
COX7B,5
COX8A,5
CPB2-AS1,5
CPD,0
CPE,4
CPEB2,4
CPEB3,0
CPLANE1,0
CPLANE2,1
CPLX1,4
CPM,4
CPNE2,0
CPNE3,0
CPNE8,1
CPPED1,5
CPQ,3
CPS1,4
CPSF1,4
CPSF4,5
CPSF6,5
CPSF7,5
CPT1A,4
CPT1C,0
CPT2,1
CPVL,4
CPZ,4
CRABP2,5
CRACD,0
CRACDL,4
CRACR2B,5
CRADD,4
CRAMP1,4
CRAT,2
CRBN,5
CRCP,4
CREB1,5
CREB3L1,0
CREB3L2,3
CREB3L4,3
CREB5,4
CREBBP,4
CREBL2,5
CREBRF,5
CREBZF,5
CRELD2,0
CRIP2,1
CRIP3,4
CRISPLD1,1
CRK,5
CRKL,4
CRLS1,0
CRMP1,1
CRNDE,4
CRNKL1,0
CROCC,0
CROCCP2,3
CROCCP3,5
CROT,5
CRPPA,4
CRSP8P,5
CRTAP,0
CRTC1,4
CRTC2,4
CRY1,0
CRY2,3
CRYBB2P1,0
CRYBG1,4
CRYBG2,1
CRYGD,3
CRYL1,4
CRYM,3
CRYZL1,5
CS,4
CSAD,3
CSAG3,3
CSDE1,0
CSF1,5
CSGALNACT1,1
CSGALNACT2,5
CSKMT,3
CSNK1A1,5
CSNK1D,4
CSNK1E,5
CSNK1G1,4
CSNK1G2,2
CSPG4,2
CSPG5,1
CSPP1,5
CSRNP1,5
CSRNP2,0
CSRNP3,5
CSRP2,1
CST3,4
CSTB,5
CSTF1,5
CSTF2T,0
CSTF3,5
CTAGE1,1
CTAGE7P,4
CTBP1-AS,3
CTBS,0
CTC-338M12.4,4
CTCF,4
CTDP1,0
CTDSP1,0
CTDSPL,1
CTDSPL2,5
CTH,4
CTNNA1,0
CTNNBIP1,2
CTNNBL1,5
CTNND1,0
CTPS2,0
CTRL,3
CTSA,2
CTSB,2
CTSC,2
CTSD,4
CTSF,0
CTSH,1
CTSK,5
CTSL,2
CTSZ,4
CTTN,0
CTTNBP2NL,5
CTU1,5
CTU2,0
CTXN1,0
CUEDC1,0
CUEDC2,4
CUL3,0
CUL5,0
CUL9,4
CUTC,5
CWC15,5
CWC22,5
CWF19L2,0
CXADR,5
CXCL12,3
CXCL16,4
CXCR4,4
CXXC4,4
CXXC5,0
CYB561,0
CYB561A3,1
CYB561D1,5
CYB5A,5
CYB5D1,5
CYB5D2,5
CYB5R1,5
CYB5R3,0
CYBA,5
CYBC1,4
CYBRD1,1
CYC1,1
CYCS,5
CYFIP1,0
CYFIP2,0
CYLD,4
CYP1A1,1
CYP1B1,0
CYP20A1,5
CYP26A1,4
CYP26B1,4
CYP27B1,5
CYP27C1,1
CYP2J2,4
CYP2R1,5
CYP2S1,1
CYP2U1,5
CYP39A1,5
CYP4V2,4
CYP4X1,3
CYREN,4
CYRIA,5
CYSRT1,1
CYSTM1,5
CYTH2,5
CYTH3,0
CYTOR,5
D2HGDH,5
DAAM2,1
DAB2IP,0
DACH2,0
DACT1,4
DACT3,4
DAG1,0
DAGLA,1
DAGLB,5
DALRD3,4
DANCR,5
DAPK3,4
DARS1,0
DARS2,0
DAZAP1,0
DBF4,5
DBI,5
DBIL5P,3
DBN1,0
DBNDD1,0
DBNL,0
DBP,4
DBR1,5
DBT,0
DCAF1,4
DCAF10,5
DCAF11,0
DCAF12,5
DCAF13,5
DCAF16,1
DCAF17,0
DCAF4,5
DCAF4L1,3
DCAF6,4
DCAF8,5
DCBLD2,0
DCDC2,3
DCHS1,1
DCHS2,1
DCK,5
DCLK1,2
DCLK2,4
DCLRE1B,5
DCLRE1C,5
DCP1A,5
DCP1B,5
DCST1-AS1,4
DCTD,0
DCTN1,0
DCTN3,2
DCTN4,0
DCTN6,5
DCTPP1,0
DCUN1D1,5
DCUN1D3,3
DCUN1D4,5
DCXR,2
DDA1,5
DDAH1,4
DDB1,0
DDB2,5
DDHD2,0
DDI2,4
DDIAS,5
DDIT3,1
DDIT4,4
DDIT4L,4
DDN,4
DDR2,4
DDRGK1,5
DDX10,0
DDX11,4
DDX11-AS1,5
DDX12P,5
DDX19A-DT,5
DDX20,5
DDX21,5
DDX23,0
DDX28,5
DDX31,4
DDX42,5
DDX46,0
DDX47,5
DDX50,0
DDX51,5
DDX52,5
DDX54,0
DDX56,0
DDX59,5
DDX6,4
DDX60,0
DEDD,5
DEDD2,5
DEF6,2
DEGS1,5
DENND10,5
DENND1A,0
DENND1B,5
DENND1C,1
DENND2A,4
DENND2B,0
DENND2C,4
DENND3,0
DENND6B,3
DEPDC4,1
DEPDC7,5
DEPP1,3
DEPTOR,4
DERA,0
DERL1,5
DERL2,5
DET1,5
DGAT2,2
DGCR11,3
DGCR6L,1
DGKD,4
DGKH,4
DGKQ,4
DGKZ,0
DGLUCY,1
DGUOK,5
DHCR24,0
DHCR7,0
DHDDS,5
DHFR,0
DHFR2,5
DHODH,1
DHPS,4
DHRS1,4
DHRS12,4
DHRS2,4
DHRS3,1
DHRS4,4
DHRS4-AS1,2
DHRS4L1,4
DHX32,1
DHX33,4
DHX35,1
DHX36,5
DHX37,0
DIAPH1,0
DICER1,0
DICER1-AS1,3
DIMT1,1
DIP2A,0
DIPK1B,0
DIPK2A,5
DIS3L,0
DISP1,5
DISP2,0
DKFZP586I1420,5
DKK1,1
DKK3,2
DLEU1,5
DLEU2,5
DLG2,5
DLG4,4
DLK2,3
DLL3,5
DLSTP1,4
DLX1,5
DLX2,5
DLX2-DT,4
DLX3,1
DLX4,0
DLX5,5
DLX6,5
DLX6-AS1,1
DMAC1,5
DMAC2,0
DMBX1,4
DMPK,1
DMRT3,3
DMRTA2,5
DMTF1,5
DMTN,2
DMWD,4
DMXL2,4
DNAAF10,5
DNAAF2,5
DNAAF3,0
DNAAF5,0
DNAAF8,3
DNAH1,4
DNAH11,4
DNAH17,5
DNAH6,4
DNAI3,4
DNAI4,5
DNAJA1,4
DNAJA4,3
DNAJB1,0
DNAJB11,3
DNAJB14,5
DNAJB4,3
DNAJB5,5
DNAJB9,3
DNAJC10,3
DNAJC11,2
DNAJC12,5
DNAJC13,4
DNAJC14,5
DNAJC16,5
DNAJC17,4
DNAJC18,5
DNAJC19,3
DNAJC22,5
DNAJC25,3
DNAJC27,3
DNAJC3,3
DNAJC30,5
DNAJC4,0
DNAJC6,5
DNAJC9,5
DNAJC9-AS1,5
DNAL1,5
DNAL4,5
DNASE1,4
DNASE1L1,1
DNASE1L2,5
DNASE2,0
DND1,1
DNHD1,1
DNLZ,4
DNM1,3
DNM2,0
DNM3,2
DNMT1,0
DNMT3A,0
DNMT3B,2
DNPH1,4
DNTTIP2,0
DOC2A,3
DOCK1,0
DOCK11,0
DOCK3,4
DOCK6,0
DOCK7,0
DOCK8,0
DOCK9,0
DOHH,3
DOK1,5
DOK3,3
DOK4,4
DOK6,0
DOLK,5
DOLPP1,5
DONSON,0
DOP1A,5
DOP1B,0
DPAGT1,3
DPCD,1
DPF1,5
DPF2,5
DPF3,5
DPH2,0
DPH3P1,4
DPH5,5
DPH5-DT,1
DPH7,5
DPM1,5
DPM2,0
DPM3,5
DPP3,0
DPP4,4
DPP7,5
DPY19L1,0
DPY19L2,1
DPY19L2P1,3
DPY19L2P2,3
DPY19L3,2
DPY19L3-DT,1
DPYD,4
DPYSL3,0
DPYSL4,4
DRAM1,1
DRAM2,1
DRAP1,0
DRG1,5
DRG2,2
DROSHA,0
DRP2,3
DSC3,0
DSG2,0
DSN1,1
DSP,0
DST,0
DSTNP2,5
DSTYK,4
DTL,5
DTNB,0
DTNBP1,5
DTWD1,5
DTX2,4
DTX2P1-UPK3BP1-PMS2P11,4
DTX3,3
DTX3L,4
DTX4,1
DUBR,5
DUS1L,0
DUS2,5
DUS4L,5
DUSP1,5
DUSP10,1
DUSP11,5
DUSP15,0
DUSP16,4
DUSP18,3
DUSP19,5
DUSP2,1
DUSP22,0
DUSP28,1
DUSP4,1
DUSP7,3
DUSP9,0
DVL1,0
DVL2,0
DYM,0
DYNC1H1,0
DYNC1I1,3
DYNC1LI1,5
DYNC1LI2,5
DYNC2H1,0
DYNC2I2,4
DYNC2LI1,5
DYNLL1,4
DYNLRB1,5
DYNLT2B,1
DYRK1A,5
DYRK3,5
DYRK4,5
DYSF,1
DZANK1,5
DZIP1,0
DZIP1L,4
E2F1,4
E2F2,4
E2F3,5
E2F6,5
E2F8,5
E4F1,5
EAF1,5
EAF2,4
EAPP,5
EARS2,0
EBAG9,5
EBF1,5
EBF2,3
EBF4,2
EBLN3P,5
ECE1,2
ECE2,0
ECEL1,1
ECH1,0
ECHDC2,5
ECHS1,0
ECI1,4
ECM1,3
ECPAS,0
ECSIT,2
EDA,0
EDA2R,5
EDARADD,2
EDC3,0
EDEM1,3
EDEM2,3
EDEM3,3
EDIL3,4
EDNRA,1
EDNRB,0
EDRF1,0
EEA1,0
EED,5
EEF1A2,4
EEF1AKMT1,4
EEF1AKMT3,5
EEF1E1,5
EEF1G,4
EEF2,0
EEFSEC,5
EEIG1,5
EEIG2,4
EEPD1,1
EFCAB10,4
EFCAB6,4
EFCAB7,3
EFEMP1,4
EFEMP2,5
EFHC1,3
EFHD1,4
EFHD2,0
EFNA1,5
EFNA2,1
EFNA3,5
EFNA4,5
EFNB1,0
EFNB2,5
EFNB3,2
EFR3A,5
EFR3B,0
EGFL7,2
EGFLAM,0
EGFR,1
EGLN1,0
EGLN3,5
EGR1,5
EHBP1L1,0
EHD1,4
EHD2,2
EHD3,4
EHD4,0
EI24,0
EID2,4
EID2B,1
EIF1,5
EIF1AD,5
EIF1B,5
EIF2A,5
EIF2AK1,0
EIF2AK3,3
EIF2AK3-DT,5
EIF2B3,0
EIF2B4,4
EIF2S1,5
EIF3B,0
EIF3C,2
EIF3CL,2
EIF3F,4
EIF3J,5
EIF3J-DT,3
EIF3K,5
EIF3L,0
EIF4A2,5
EIF4E,5
EIF4E2,5
EIF4E3,0
EIF4EBP1,4
EIF4EBP2,0
EIF4ENIF1,4
EIF4G1,0
EIF4G2,0
EIF4G3,0
EIF5,5
EIF5A,4
EIF5A2,5
EIF5AL1,4
EIPR1,0
ELAC1,5
ELAC2,0
ELAPOR2,2
ELAVL2,5
ELF1,1
ELFN2,0
ELK1,0
ELK4,5
ELL,4
ELL3,1
ELMO1,2
ELMO2,4
ELMO3,1
ELMOD2,4
ELMOD3,4
ELOA,4
ELOVL4,5
ELP1,0
ELP3,4
ELP4,4
ELP5,5
ELP6,5
EMB,2
EMBP1,4
EMC10,2
EMC2,5
EMC3-AS1,1
EMC4,5
EMC6,5
EMC7,5
EMD,4
EME1,5
EME2,5
EMG1,5
EMID1,2
EMILIN1,1
EMILIN2,0
EMILIN3,2
EML1,4
EML2,5
EML3,4
EML4,0
EMP2,2
EMP3,5
EMSLR,5
EMSY,5
EMX1,1
EMX2,3
EMX2OS,0
EN1,4
ENC1,3
ENDOD1,0
ENDOG,4
ENDOV,1
ENHO,1
ENKD1,3
ENO1,0
ENO2,0
ENO3,3
ENOSF1,4
ENOX1,3
ENPEP,0
ENPP1,0
ENPP2,0
ENPP4,5
ENPP5,5
ENTPD5,5
ENTPD6,0
ENTPD7,3
ENTREP1,4
ENY2,5
EOLA1-DT,4
EOLA2,3
EOLA2-DT,3
EOMES,1
EP300,0
EP300-AS1,5
EP400,0
EP400P1,3
EPAS1,0
EPB41,0
EPB41L1,2
EPB41L2,0
EPB41L3,0
EPC1,5
EPC2,5
EPHA10,3
EPHA5,1
EPHA6,3
EPHA7,5
EPHA8,0
EPHB1,0
EPHB2,0
EPHB3,5
EPHX1,2
EPHX2,1
EPM2A,2
EPN1,0
EPN2,5
EPOR,4
EPPK1,3
EPS15L1,5
EPSTI1,4
ERAP1,4
ERAP2,4
ERBB3,2
ERBB4,4
ERC1,0
ERC2,3
ERCC1,0
ERCC4,4
ERCC5,4
ERCC6,0
ERCC6L,5
ERCC6L2-AS1,3
ERF,5
ERFE,1
ERGIC1,2
ERGIC3,1
ERH,5
ERICH1,5
ERICH2,3
ERICH5,3
ERLEC1,3
ERLIN1,5
ERMP1,0
ERN1,2
ERO1B,3
ERP29,4
ERRFI1,5
ERV3-1,4
ERVK13-1,4
ESAM,3
ESCO2,5
ESD,5
ESF1,5
ESPNL,1
ESR2,4
ESRP2,4
ESRRG,5
ESS2,0
ESX1,1
ESYT1,0
ESYT2,0
ETAA1,5
ETFB,4
ETFBKMT,3
ETFDH,1
ETFRF1,5
ETHE1,1
ETNK2,2
ETNPPL,1
ETS1,2
ETS2,5
ETV1,4
ETV3,5
ETV6,4
EVA1A,4
EVC,0
EVI5,0
EVI5L,0
EVL,0
EXD2,0
EXD3,5
EXO1,5
EXO5,5
EXOC3-AS1,4
EXOC4,0
EXOC5,0
EXOC8,5
EXOG,5
EXOSC1,5
EXOSC2,5
EXOSC3,0
EXOSC4,5
EXOSC5,0
EXOSC6,5
EXOSC7,5
EXOSC8,5
EXOSC9,5
EXPH5,1
EXTL1,4
EYA1,3
EYA3,5
EYS,3
EZH1,5
EZR,0
F11R,4
F12,4
F2RL1,1
F3,3
F8,4
F8A1,3
FAAH,5
FAAH2,3
FAAHP1,3
FAAP100,4
FAAP20,4
FAAP24,5
FABP5,5
FADD,0
FADS1,0
FADS2,0
FADS3,1
FAF1,0
FAF2,5
FAH,4
FAHD1,5
FAHD2B,1
FAHD2CP,0
FAM110A,5
FAM110B,1
FAM110C,5
FAM114A1,4
FAM114A2,5
FAM117A,5
FAM118A,5
FAM118B,1
FAM120A,0
FAM120C,5
FAM124A,5
FAM131B,3
FAM131C,2
FAM133B,5
FAM133DP,5
FAM135A,5
FAM13B,5
FAM13C,3
FAM149A,4
FAM151B,4
FAM161A,5
FAM161B,5
FAM162A,5
FAM168A,0
FAM168B,0
FAM169A,5
FAM171A1,0
FAM171A2,2
FAM171B,2
FAM174A,3
FAM174B,3
FAM174C,2
FAM177A1,5
FAM181B,5
FAM184A,1
FAM186B,3
FAM193A,5
FAM193B,5
FAM200A,2
FAM200B,5
FAM200C,5
FAM20C,0
FAM216A,4
FAM219A,5
FAM220A,0
FAM221A,5
FAM222A,4
FAM222B,5
FAM227A,5
FAM227B,5
FAM228B,4
FAM229A,3
FAM229B,1
FAM234A,2
FAM234B,0
FAM241A,0
FAM241B,3
FAM27B,5
FAM27E3,5
FAM3C,5
FAM43A,5
FAM43B,3
FAM50A,0
FAM50B,4
FAM53A,4
FAM53B,0
FAM53C,5
FAM72A,5
FAM72B,5
FAM72C,5
FAM72D,3
FAM76A,5
FAM76B,3
FAM81A,0
FAM83B,5
FAM83D,5
FAM83G,4
FAM86B1,1
FAM86B3P,1
FAM86C1P,1
FAM86C2P,0
FAM86EP,5
FAM86FP,1
FAM86HP,4
FAM86JP,1
FAM88B,3
FAM88E,3
FAM89A,0
FAM89B,4
FAM8A1,0
FAM95C,3
FAM98C,1
FANCB,5
FANCC,0
FANCF,3
FANCI,0
FANCL,5
FANCM,3
FANK1,5
FAR1,0
FAR2,4
FARP1,0
FARP2,0
FARS2,2
FARSA,5
FARSB,0
FAS,4
FASN,0
FASTK,3
FASTKD1,5
FASTKD2,5
FASTKD3,5
FAT1,0
FAT3,0
FAT4,4
FAU,5
FAXDC2,1
FBF1,4
FBLIM1,2
FBLL1,1
FBLN1,2
FBLN2,2
FBLN5,0
FBN1,2
FBN2,0
FBRS,4
FBRSL1,4
FBXL12,5
FBXL14,2
FBXL15,5
FBXL16,4
FBXL17,0
FBXL18,0
FBXL19,0
FBXL19-AS1,4
FBXL2,3
FBXL21P,1
FBXL3,4
FBXL5,5
FBXL6,5
FBXL7,3
FBXO16,3
FBXO17,4
FBXO2,0
FBXO21,4
FBXO22,0
FBXO27,1
FBXO28,5
FBXO30,5
FBXO31,4
FBXO32,1
FBXO33,5
FBXO36,1
FBXO38,5
FBXO4,5
FBXO42,5
FBXO44,4
FBXO45,0
FBXO46,5
FBXO48,3
FBXO5,5
FBXO6,5
FBXO8,5
FBXO9,4
FBXW11,4
FBXW5,4
FBXW7,3
FBXW9,0
FCGBP,1
FCGRT,0
FCHO1,0
FCHO2,5
FCHSD1,1
FDFT1,2
FDPS,0
FDX2,5
FDXACB1,5
FECH,0
FEM1A,4
FEM1B,5
FEM1C,5
FEN1,5
FENDRR,0
FER1L4,3
FERMT1,0
FGD1,0
FGD3,0
FGD4,5
FGD5-AS1,0
FGD6,4
FGF12,4
FGF17,5
FGF2,3
FGF5,3
FGF7P3,1
FGF9,3
FGFBP1,4
FGFBP3,5
FGFR1OP2,5
FGFR2,4
FGFR3,4
FGFR4,2
FGGY,3
FHDC1,1
FHIP1A,0
FHIP2A,5
FHIP2B,3
FHIT,5
FHL1,0
FHL2,5
FHL3,5
FHOD1,0
FHOD3,0
FIBIN,4
FIBP,4
FICD,3
FIG4,4
FIGNL1,5
FILIP1L,1
FIP1L1,5
FIRRE,3
FIRRM,0
FIS1,4
FITM2,2
FIZ1,5
FJX1,5
FKBP11,3
FKBP14,3
FKBP15,5
FKBP1B,0
FKBP2,5
FKBP5,0
FKBP8,0
FKBP9,1
FKRP,5
FLAD1,5
FLI1,0
FLII,0
FLJ37201,3
FLJ42627,5
FLNA,0
FLNB,0
FLNC,2
FLOT2,2
FLRT1,3
FLRT2,5
FLRT3,4
FLVCR1-DT,1
FLVCR2,3
FLYWCH1,0
FLYWCH2,5
FMC1,3
FMNL1,4
FMNL2,0
FMNL3,4
FMO4,3
FMO5,1
FN1,0
FN3K,1
FN3KRP,4
FNBP1,0
FNBP4,5
FNDC1,2
FNDC10,2
FNDC3A,3
FNDC3B,3
FNDC4,1
FNDC5,1
FNDC8,1
FNIP1,5
FNIP2,0
FNTB,4
FOCAD,0
FOS,1
FOSB,1
FOSL2,3
FOXA1,3
FOXA3,3
FOXB1,3
FOXC1,5
FOXD1,4
FOXD2,5
FOXD2-AS1,1
FOXD3,1
FOXD3-AS1,1
FOXD4,1
FOXE1,5
FOXF1,5
FOXG1,5
FOXI3,5
FOXJ2,4
FOXJ3,5
FOXK1,0
FOXN2,5
FOXN3-AS1,3
FOXN4,3
FOXO1,1
FOXO3,0
FOXO3B,4
FOXO4,2
FOXO6,0
FOXP1,4
FOXP3,3
FOXP4,0
FOXP4-AS1,1
FOXQ1,3
FOXRED1,5
FPGS,4
FPGT,5
FRAS1,2
FRAT1,0
FRAT2,5
FREM2,0
FRG1BP,4
FRG1HP,5
FRK,1
FRMD3,5
FRMD4B,4
FRMD5,4
FRMD6,5
FRMD8,4
FRMPD1,4
FRMPD3,3
FRRS1,5
FRS2,5
FRS3,3
FRY,3
FSCN1,0
FSCN2,4
FSD1L,5
FSD2,5
FSIP1,4
FSIP2,3
FSTL3,1
FSTL5,1
FTO,0
FTSJ1,5
FTX,4
FUBP3,0
FUCA2,2
FUNDC1,5
FUOM,0
FURIN,2
FUS,0
FXR2,4
FXYD5,3
FXYD6,4
FZD1,4
FZD10,0
FZD10-AS1,4
FZD2,3
FZD3,0
FZD4,4
FZD5,4
FZD6,5
FZD7,4
FZD8,5
FZD9,0
FZR1,0
G0S2,5
G2E3,5
G6PC3,4
G6PD,0
GAA,0
GAB1,5
GAB2,5
GABARAP,2
GABARAPL1,3
GABPB1,1
GABPB1-AS1,5
GABPB1-IT1,4
GABRA3,4
GABRB3,0
GABRD,1
GAD1,5
GADD45A,3
GADD45B,5
GADD45GIP1,4
GAK,2
GALC,1
GALE,2
GALK1,4
GALK2,3
GALM,0
GALNS,4
GALNT1,0
GALNT10,2
GALNT11,2
GALNT12,0
GALNT13,2
GALNT16,0
GALNT2,2
GALNT3,1
GALNT6,0
GALNT9-AS1,4
GALNTL6,1
GALR2,3
GAMT,4
GAN,4
GANAB,4
GAP43,3
GAPDH,4
GAPDHS,5
GAR1,5
GARIN5A,4
GARNL3,1
GARRE1,4
GARS1-DT,3
GAS1,5
GAS2L1,2
GAS2L3,3
GAS6,2
GAS7,0
GASK1A,1
GATA2,4
GATA2-AS1,0
GATA3,5
GATA5,0
GATA6,5
GATA6-AS1,0
GATAD1,3
GATAD2A,0
GATAD2B,3
GATB,0
GATD1,0
GATD1-DT,4
GATD3,1
GBA1,2
GBA1LP,4
GBF1,0
GBP1P1,3
GBX1,1
GBX2,1
GCA,5
GCAT,0
GCC1,5
GCH1,0
GCHFR,0
GCLC,5
GCN1,0
GCNA,5
GCNT1,5
GCNT2,5
GCSAM,1
GCSH,4
GCSHP3,1
GDAP2,0
GDE1,4
GDF11,0
GDF6,0
GDF7,1
GDF9,1
GDI2,5
GDNF,3
GDPD1,1
GDPD3,3
GDPGP1,5
GEM,4
GEMIN2,5
GEMIN4,4
GEMIN5,2
GEMIN6,5
GEMIN7,5
GEMIN8P4,4
GEN1,5
GET4,0
GFER,5
GFI1,5
GFM2,4
GFOD3P,0
GFPT1,3
GFRA1,0
GFUS,5
GGACT,1
GGCX,2
GGH,2
GGT1,3
GGT7,4
GHDC,2
GHET1,1
GHITM,0
GHR,0
GHRLOS,1
GID4,5
GIGYF1,3
GIGYF2,4
GIHCG,2
GIN1,5
GINM1,5
GINS3,4
GIPC1,4
GIPC3,4
GIT2,5
GJA3,2
GJB2,1
GJB7,3
GJC1,5
GJC2,1
GJD3,2
GK,0
GK5,4
GLB1,0
GLB1L,4
GLB1L2,2
GLB1L3,1
GLCCI1,0
GLDC,2
GLG1,0
GLI1,4
GLI3,0
GLI4,4
GLIDR,3
GLIPR1,4
GLIS3,4
GLMN,1
GLMP,0
GLOD4,5
GLRB,3
GLRX,0
GLRX2,0
GLS2,3
GLT8D1,5
GLT8D2,4
GLTPD2,1
GLUD1,0
GLUD1P3,1
GLUD2,0
GLYCTK,4
GM2A,4
GMCL1,0
GMEB1,4
GMEB2,0
GMIP,4
GMNN,5
GMPPA,3
GMPPB,3
GMPR,3
GMPS,4
GNAI1,5
GNAI3,0
GNAL,2
GNAO1,4
GNAQ,2
GNAS,2
GNAS-AS1,4
GNAT2,4
GNAZ,0
GNB1,2
GNB1L,0
GNB2,4
GNB3,5
GNE,4
GNG11,3
GNG13,1
GNG2,1
GNG4,2
GNG7,2
GNL2,5
GNL3,5
GNMT,5
GNPAT,4
GNPTAB,2
GNPTG,2
GNRHR2,1
GOLGA1,5
GOLGA2P5,5
GOLGA2P7,5
GOLGA3,0
GOLGA4,0
GOLGA5,3
GOLGA6L5P,3
GOLGA6L9,3
GOLGA8A,5
GOLGA8B,3
GOLGB1,3
GOLIM4,0
GOLM1,2
GOLM2,4
GOLPH3L,3
GOLT1B,5
GOPC,5
GORAB,5
GORASP1,0
GORASP2,3
GOSR1,5
GOSR2,4
GOT1,1
GP1BA,1
GPAA1,0
GPAM,0
GPAT3,5
GPATCH1,0
GPATCH11,5
GPATCH2,5
GPATCH3,4
GPBP1,5
GPBP1L1,5
GPC1,2
GPC2,3
GPC3,2
GPC4,1
GPC5,4
GPC6,2
GPCPD1,5
GPD1L,0
GPER1,4
GPI,0
GPKOW,5
GPLD1,1
GPM6A,1
GPM6B,0
GPN2,4
GPN3,5
GPR107,0
GPR135,3
GPR137,4
GPR137B,4
GPR137C,4
GPR146,0
GPR153,0
GPR156,4
GPR157,4
GPR158,4
GPR160,0
GPR161,0
GPR162,4
GPR19,1
GPR27,4
GPR37,4
GPR50,0
GPR63,5
GPR75,1
GPR85,0
GPR89B,5
GPRASP1,3
GPRASP3,3
GPRC5A,3
GPRC5B,2
GPRC5C,3
GPRIN1,0
GPRIN3,4
GPS1,4
GPSM1,0
GPSM2,0
GPT,4
GPT2,0
GPX1,4
GPX3,4
GPX4,4
GRAMD1C,2
GRAMD2B,3
GRAMD4,0
GRB14,0
GREB1,0
GREB1L,0
GRID1,0
GRID2IP,1
GRIK4,2
GRIK5,3
GRIN2C,1
GRIN2D,2
GRINA,0
GRIP1,4
GRIP2,0
GRIPAP1,0
GRK2,0
GRK4,1
GRK6,0
GRN,2
GRPEL1,5
GRPEL2,5
GRTP1,4
GRWD1,4
GSC,3
GSDMB,3
GSE1,0
GSK3A,5
GSKIP,5
GSN,0
GSPT2,5
GSR,4
GSTA4,1
GSTK1,0
GSTM2,0
GSTM3,1
GSTM4,0
GSTO2,5
GSTP1,4
GSTZ1,1
GTF2A1,5
GTF2A2,5
GTF2B,5
GTF2E1,5
GTF2H2,5
GTF2H2C,1
GTF2H5,5
GTF2I,2
GTF2IP1,2
GTF2IP20,3
GTF2IP4,0
GTF2IRD1,4
GTF2IRD2B,4
GTF3A,4
GTF3C1,2
GTF3C2,0
GTF3C4,5
GTF3C6,5
GTPBP1,0
GTPBP10,5
GTPBP2,4
GTPBP4,5
GTSE1,0
GTSE1-DT,4
GTSF1,1
GUCA1B,5
GUCY1A1,4
GUCY1A2,0
GUCY1B1,1
GUK1,0
GULP1,5
GUSB,0
GUSBP1,4
GUSBP11,4
GVQW3,4
GXYLT2,2
GYG2,2
GYPC,4
GYS1,2
GYS2,4
GZF1,0
H1-0,5
H1-10,4
H1-10-AS1,1
H1-2,5
H1-4,2
H2AC11,1
H2AC12,1
H2AC17,1
H2AC20,3
H2AC25,2
H2AC6,4
H2AJ,0
H2AX,5
H2AZ1,5
H2BC11,1
H2BC12,4
H2BC17,1
H2BC18,1
H2BC21,1
H2BC26,1
H2BC5,1
H3-3B,5
H3-5,1
H3P6,4
H4C3,1
H4C5,2
H4C8,1
H6PD,2
HABP4,0
HACD1,2
HACE1,0
HADHA,0
HAGHL,4
HAGLR,0
HAND1,4
HAND2,4
HAP1,1
HAPLN3,2
HAPSTR1,5
HAPSTR2,3
HARBI1,5
HARS2,5
HAS2,1
HAS3,4
HASPIN,1
HAUS3,5
HAUS4,4
HAUS5,5
HAUS6,4
HAUS8,1
HAX1,5
